method,scenario,n,throughput_mbps_mean,throughput_mbps_std,embb_throughput_mbps_mean,embb_throughput_mbps_std,urllc_throughput_mbps_mean,urllc_throughput_mbps_std,center_embb_throughput_mbps_mean,center_embb_throughput_mbps_std,edge_embb_throughput_mbps_mean,edge_embb_throughput_mbps_std,min_embb_throughput_mbps_mean,min_embb_throughput_mbps_std,min_embb_satisfaction_ratio_mean,min_embb_satisfaction_ratio_std,mean_embb_satisfaction_ratio_mean,mean_embb_satisfaction_ratio_std,latency_violation_mean,latency_violation_std,rate_deficit_cost_mean,rate_deficit_cost_std,rate_violation_fraction_mean,rate_violation_fraction_std,drop_ratio_mean,drop_ratio_std,packet_deadline_miss_ratio_mean,packet_deadline_miss_ratio_std,worst_urllc_deadline_miss_ratio_mean,worst_urllc_deadline_miss_ratio_std,urllc_delay_p95_ms_mean,urllc_delay_p95_ms_std,urllc_delay_p99_ms_mean,urllc_delay_p99_ms_std,jain_fairness_mean,jain_fairness_std,avg_prb_embb_mean,avg_prb_embb_std,avg_prb_urllc_mean,avg_prb_urllc_std,avg_safety_reserved_prbs_mean,avg_safety_reserved_prbs_std,safety_activation_fraction_mean,safety_activation_fraction_std,safety_cap_hit_fraction_mean,safety_cap_hit_fraction_std,avg_urllc_class_share_mean,avg_urllc_class_share_std,std_urllc_class_share_mean,std_urllc_class_share_std,avg_embb_sla_weight_mean,avg_embb_sla_weight_std,avg_reference_urllc_share_mean,avg_reference_urllc_share_std,avg_reference_embb_weight_mean,avg_reference_embb_weight_std,avg_delta_rho_mean,avg_delta_rho_std,std_delta_rho_mean,std_delta_rho_std,avg_delta_beta_mean,avg_delta_beta_std,std_delta_beta_mean,std_delta_beta_std,inference_us_mean,inference_us_std
ReferenceClassPF,tight_sla,5,19.844267359999996,0.16341879441914842,14.917562720000001,0.08375063891835127,4.92670464,0.08639592142669725,9.00088624,0.00447525392888479,5.91667648,0.0846842136327192,1.72194608,0.08754276955289919,1.2124390303030304,0.0008824701692593624,1.4238751717171718,0.013064882127124982,0.004884999990463257,0.0023659432766101234,9.212170334649273e-06,1.5918109158494715e-05,0.0003066666666666666,0.0005340620022265413,0.0,0.0,0.017429626364596006,0.0078118358626238435,0.022227200070904885,0.008973388537606031,2.4,0.5477225575051661,5.6,0.8944271909999159,0.8728434303787302,0.00518514656764841,77.0128,2.2277874472220165,28.987199999999994,2.2277874472220187,0.50838,0.22457332210215888,0.02036,0.009257321426849128,0.01104,0.005004298152588433,0.2750292306028872,0.020599658793561484,,,1.1294103825953188,0.024975023202722487,0.2750292306028872,0.020599658793561484,1.1294103825953188,0.024975023202722487,0.0,0.0,,,0.0,0.0,,,118.35999999999999,2.0305171754998788
DemandAwareClassPF,nominal_hetero,5,19.8017488,0.11922283242667914,14.847195200000002,0.09686711181489752,4.9545536,0.03797989720049281,8.997110240000001,0.003099336723881504,5.850084959999999,0.09539977581759834,1.67020816,0.07806559890840513,1.2118222424242422,0.000381645198910196,1.414026520650954,0.01410248787583671,0.0033649999852059407,0.003062607109189139,4.504288917814847e-05,9.197916423341827e-05,0.0008333333333333333,0.001330152455756691,0.0,0.0,0.0076561237923877,0.006704065742320942,0.009815890489130048,0.008036925500583807,3.2,0.44721359549995787,5.8,1.7888543819998317,0.8729511553561791,0.0027116610589534434,78.01082000000001,1.9425104483631486,27.989179999999998,1.9425104483631488,0.37194,0.2638636447106725,0.016399999999999998,0.009555626614722867,0.00812,0.006005580737946997,0.30726751703747396,0.016504775029611198,,,1.0683025310483536,0.019787103237650375,,,,,,,,,,,,,98.54,0.4491658936295116
DemandAwareClassPF,load_surge,5,22.54957872,0.2799801115088564,17.6572488,0.23057290279996132,4.89232992,0.09225045935772923,10.74366512,0.003535255740677823,6.9135836799999995,0.23228646006418865,1.9541255999999998,0.2013105668030368,1.4468985454545455,0.0003280601777984511,1.6775405600448934,0.035347929689313363,0.002905000064492924,0.0038949648434423636,0.0,0.0,0.0,0.0,0.002902680846948326,0.004227307811841387,0.005415739754191613,0.0055671667718369695,0.007745039608804291,0.007756268765004374,3.0,0.0,5.4,1.6733200530681511,0.8347531978179216,0.006819997006542,79.01156,3.3168985284449075,26.988440000000004,3.316898528444909,0.26116,0.21627196535843476,0.01184,0.00773032987653179,0.005679999999999999,0.005337789804778753,0.29908479780481084,0.0276767157670932,,,1.054111428112559,0.019994593419413537,,,,,,,,,,,,,104.58,15.332710132262985
DemandAwareClassPF,edge_fade,5,17.80541744,0.7256652405233462,12.886579840000001,0.7188910464001952,4.918837600000001,0.038486359869439525,8.669867199999999,0.4937385756528245,4.21671264,0.23575922613201789,1.0243286399999998,0.07582234285042896,0.9450757185185186,0.06562008832592606,1.1591606973063973,0.06440165097112305,0.11752999946475029,0.07436717350476223,0.0026752371690236033,0.0028367524190633427,0.05456333333333334,0.04365035541410606,0.05456892390072675,0.02476670525903336,0.1567506750292352,0.08121761423114128,0.17172045291491916,0.08240468889749084,19.0,10.319883720275147,38.072000000000116,15.303134319478357,0.838961591314102,0.010739005015503705,57.724120000000006,5.987648253028895,48.275879999999994,5.987648253028895,6.43018,3.1838980545865474,0.20124,0.09008281190105025,0.16436,0.08428892572574408,0.4733548628742006,0.047025288867490106,,,1.7226614370298396,0.2335373937668328,,,,,,,,,,,,,114.55999999999999,25.003359774238337
DemandAwareClassPF,bursty_urllc,5,22.460941759999997,0.33076210121446575,14.484957600000001,0.3635104484599022,7.97598416,0.0656846581159407,8.97179552,0.06159793169151018,5.51316208,0.315873537164024,1.56009088,0.11943371413948418,1.2121627272727271,0.0007663905659263683,1.3649712014590347,0.047041878855614706,0.10256999954581261,0.05875946509777021,0.00012033483653794974,0.00021635064188841352,0.00377,0.006685747693580893,0.00590535296986936,0.008871154162894863,0.1695288806187784,0.09078246359103503,0.17876062153901215,0.08998925947357253,23.2,14.25482374496437,43.6,17.096783323186852,0.9413052794003743,0.005840964110195881,58.685739999999996,5.086298793130423,47.314260000000004,5.086298793130423,5.05516,2.6136844641233954,0.15819999999999998,0.07497116112212748,0.12633999999999998,0.06764741680212187,0.4620983420692927,0.04100486460379429,,,1.391855315944677,0.1912253383982586,,,,,,,,,,,,,115.88,24.9112825844034
DemandAwareClassPF,mixed_dynamic,5,21.1289904,0.7177926317990176,14.66511264,0.7642478555602548,6.46387776,0.06728103937936743,9.70499472,0.4300914289183078,4.96011792,0.348336680850283,1.2270888,0.12840574227035176,1.1361933333333334,0.11889420580588128,1.3310455195286195,0.07464645388214985,0.13584499806165695,0.027963218504962684,6.143952487036586e-05,0.000137382954115427,0.0021100000000000003,0.0047181034325245565,0.05782044193377985,0.018787797661729312,0.20532854697163172,0.04471985838793402,0.2149043876372423,0.04534437886070658,47.8,18.619881847100967,69.4,22.578751072634642,0.8742055423886365,0.007716336313153817,56.514120000000005,3.3587025191284816,49.485879999999995,3.3587025191284816,6.5333,1.3247371229794989,0.20088,0.03888318402600281,0.16604000000000002,0.03430339633330787,0.48055540001421776,0.027356676087473605,,,1.62739065613436,0.1226800321985821,,,,,,,,,,,,,116.2,26.112449138294174
DemandAwareClassPF,hotspot_unseen,5,20.074831519999996,0.28486636366161483,14.080574720000001,0.273236959751553,5.9942568000000005,0.09718005628810834,8.582185280000001,0.0987437296903054,5.498389439999999,0.23131614085067256,1.539844,0.21752171268689485,1.0956174814814814,0.052403174966771646,1.3321319826038158,0.03569370337993327,0.14760999828577043,0.03645231427435519,0.00011895116476807743,0.00018037391368023504,0.007700000000000001,0.010550829351287984,0.09023582527661599,0.008509272462998716,0.20097471968915057,0.04913994663121189,0.25131433658407815,0.06318308764203932,56.2,28.804513535208333,84.2,27.79748190034486,0.8890822315463927,0.008475704711633126,58.79979999999999,3.65560551071912,47.2002,3.6556055107191203,6.870659999999999,1.4682633561456202,0.20348000000000002,0.04103647158321485,0.17812,0.03994367284063898,0.46031845427386264,0.02966006564230974,,,1.5280247877079387,0.11159888058001827,,,,,,,,,,,,,104.6,1.5921683328090663
DemandAwareClassPF,tight_sla,5,19.84389504,0.16363336149761112,14.91727088,0.08388176236317338,4.92662416,0.08645891777513783,9.00088656,0.0044679048655939385,5.916384320000001,0.08482587748294726,1.72166928,0.0877725636797285,1.2124390303030304,0.0008824701692593624,1.4238310408529744,0.013087445359254372,0.005024999938905239,0.002354450622798495,1.0757922609627713e-05,1.8863654899710595e-05,0.00030999999999999995,0.0005412947441089743,0.0,0.0,0.018440860404865412,0.008097532129560766,0.02331409307175406,0.009519356575489572,3.2,0.4472135954999579,5.8,1.0954451150103321,0.8728339319998295,0.005193994385574728,77.1476,2.223085118703285,28.8524,2.223085118703286,0.53528,0.22305586071654787,0.021800000000000003,0.009766268478799875,0.01156,0.004966689037980937,0.31584415301493524,0.01897283190692802,,,1.0583936128761544,0.01173761828384205,,,,,,,,,,,,,98.44999999999999,0.8689073598491366
ReferenceResidual-Unconstrained-PPO,nominal_hetero,5,19.80224608,0.119889184169516,14.84768752,0.09780790486924833,4.95455856,0.037968199950590344,8.99707152,0.003147217519015845,5.8506160000000005,0.09625614658732164,1.67071152,0.0789999229540889,1.2118222424242422,0.000381645198910196,1.4141042107744108,0.014243549324875392,0.003765000027487986,0.003584803064266323,4.244408955855761e-05,8.505712987625109e-05,0.0008533333333333333,0.001324942346754085,0.0,0.0,0.00862564837296369,0.007868092494633076,0.0108034270898847,0.009110216134689923,2.8,0.8366600265340756,5.6,2.4083189157584592,0.8729615267389222,0.0027178211125762036,77.99122,1.933868395729137,28.00878,1.9338683957291396,0.40116000000000007,0.30939927763328734,0.01648,0.011012129675952786,0.009040000000000001,0.007198124755795776,0.2715127748496154,0.017247623169281814,0.24256508334901605,0.014442050430154155,1.0601221168647164,0.18748927961293702,0.28019029921634964,0.0213614132889602,1.1569184715963785,0.04102132816307289,-0.008677524366734291,0.012348657277613041,0.013109902900993356,0.0051456173364744645,-0.09679635473166197,0.1975622361287693,0.14344062780457595,0.060031779287562065,1609.7,359.9723791487342
ReferenceResidual-Unconstrained-PPO,load_surge,5,22.550615040000004,0.27935236221254456,17.65823664,0.22985790335450246,4.8923784,0.09229867513502045,10.74370864,0.0034443246490427136,6.914528000000002,0.23156279056739626,1.9551904,0.20047140938258495,1.4469080606060607,0.00033406535324509277,1.6776911644219976,0.035234458981020615,0.003155000140395714,0.003948987412180583,0.0,0.0,0.0,0.0,0.0028792253763034147,0.004190115035285725,0.00597372197441184,0.005557897811421264,0.008230384697663209,0.007571019159383766,2.8,0.4472135954999579,5.6,1.816590212458495,0.834777969396263,0.006802106989519355,79.00344,3.3470493741503136,26.99656,3.3470493741503122,0.28372,0.22163254950480535,0.01236,0.007803076316428028,0.00626,0.005424297189498378,0.2625949735690191,0.030932738480139565,0.23397893908135364,0.02370178534368866,1.0548181001040178,0.16631630523146487,0.2718585929807126,0.0282270607708297,1.123746561421901,0.041677362061610636,-0.009263619411693399,0.009031939659596424,0.01409572388834814,0.004579256593961842,-0.0689284613178833,0.16803021082794825,0.1419373196588563,0.05703794086976421,1700.0,308.8674776502051
ReferenceResidual-Unconstrained-PPO,edge_fade,5,17.81148528,0.736937794088071,12.892700639999997,0.7300974268464511,4.91878464,0.03842398405746072,8.665654720000001,0.4994105090644691,4.22704592,0.24159672505038654,1.03099552,0.07631351343629778,0.9515323407407408,0.0664473034662079,1.1604790163860832,0.0656197663670538,0.12046499848365784,0.07182729513609312,0.002445955469738692,0.0027624343563261745,0.052703333333333324,0.0443191838322363,0.054031193832380545,0.02523177081099098,0.1600188423097329,0.0782772519114885,0.17543973722776082,0.07906425174155392,19.6,9.964938534682489,39.8,13.590437814875576,0.8396735789363786,0.010735152214839819,57.81584,6.064131929880813,48.18416,6.064131929880813,6.541739999999999,3.045435445547976,0.20284,0.08584732377890412,0.16752,0.0811688795044012,0.4483138814275017,0.05102159917108257,0.3173807979539967,0.012717542220738762,2.004372249604189,0.1617867992243509,0.45655737932378776,0.04277966445638176,2.025489084017962,0.24707602017607158,-0.008243497896285949,0.010158254386981754,0.01505190416215003,0.0056169883631599395,-0.021116834413773107,0.1305945897994241,0.1932535683219897,0.1074253899566377,1723.2100000000003,302.8334492753401
ReferenceResidual-Unconstrained-PPO,bursty_urllc,5,22.46263792,0.32661401598466655,14.48659312,0.35914111218253963,7.9760447999999995,0.0656623812495406,8.97249872,0.05977282645376553,5.514094399999999,0.31306757185706713,1.5600071999999998,0.11979113039486686,1.212147696969697,0.0007830445690135543,1.365128955667789,0.04658514832138717,0.11027500033378601,0.06746721785422718,9.616693860152737e-05,0.0001648429309929118,0.0034600000000000004,0.005990010202180146,0.005783400751988612,0.008701773845395307,0.17853541201070317,0.10043594142436892,0.18761107731898524,0.09767993459209613,24.4,14.604793733565703,46.6,18.555322686496183,0.9413128881693721,0.00581187450270669,58.66189999999999,5.073130445297067,47.338100000000004,5.073130445297067,5.2829999999999995,2.823346421358881,0.16272,0.07928251383501914,0.13282,0.07421170392869308,0.4415899669056773,0.04265865658846305,0.29592180837863696,0.013138602326846967,1.4627628208493326,0.310951264958705,0.45350317768871073,0.041840362234171466,1.519703124295009,0.20054859730560204,-0.01191321078303347,0.010339526512794553,0.015831216567854828,0.0058445031173033095,-0.056940303445676556,0.1416110109634148,0.21260856088686123,0.1385476195374951,1692.1300000000003,336.6039895039866
ReferenceResidual-Unconstrained-PPO,mixed_dynamic,5,21.109104159999998,0.7307706582184907,14.64537024,0.77752878739008,6.46373392,0.06704887946828031,9.682069440000001,0.4456001370076627,4.9633008,0.348945100294932,1.23146704,0.12760882408912008,1.1402472592592592,0.11815631860103706,1.3300352749719417,0.07540055231069412,0.13945999890565872,0.030395948558350507,6.551554542966187e-05,0.0001464972131636996,0.0022033333333333336,0.004926803110424538,0.05794121955872731,0.019051706434304466,0.2099897155741738,0.048729281801698034,0.2197744591360684,0.04923877659216162,50.6,19.204166214652485,72.4,23.04994577000128,0.8750934522252539,0.008472240202135975,56.552859999999995,3.336311473468867,49.447140000000005,3.336311473468867,6.66516,1.4444824135308816,0.20293999999999998,0.04211588773847703,0.16996000000000003,0.03729239868927715,0.4598442591197373,0.028394417171633466,0.3097910521743669,0.007467492789850271,1.8167520837847928,0.18307217747095209,0.46910888709731813,0.0327780547211145,1.8621987190822842,0.1447800312801287,-0.009264627977580746,0.011770141777890873,0.015346596829028314,0.005979991227374227,-0.045446635297491086,0.1415637371910866,0.22221595171806605,0.1660398625702279,1723.0399999999997,296.4242976714291
ReferenceResidual-Unconstrained-PPO,hotspot_unseen,5,20.089751999999997,0.27970380735914047,14.09550016,0.2633874137976389,5.99425184,0.09720682805712844,8.59215728,0.08996596807700159,5.50334288,0.2286366729503216,1.5419798400000002,0.21553176114115527,1.1006693333333333,0.04867819278174334,1.3335903295173963,0.035003895407909616,0.1545150026679039,0.03977601582830532,6.181672652019187e-05,8.811391988279072e-05,0.005826666666666667,0.007984373627418885,0.08964962312433812,0.008235189174510875,0.2090169995406876,0.05067388160523831,0.2604591392118577,0.06384330308756485,63.2,37.917014650417826,90.8,37.47932763537788,0.8891685748564218,0.008461958061646197,58.93284,3.5496142505911843,47.06716,3.5496142505911843,7.10766,1.505969871212568,0.2088,0.0412355429211257,0.18452000000000002,0.041619911100337546,0.4354403129589877,0.030457803565364334,0.3044195369382078,0.008861223533545607,1.5943501326402412,0.26950584240406966,0.44801483823850097,0.03410756936664025,1.668733182053734,0.12170313169770436,-0.012574525279513239,0.008219020404820617,0.01732432016331876,0.006985505895168957,-0.07438304941349244,0.1563760631135844,0.2070382025134842,0.13723847661613559,1620.7,153.16207510346678
ReferenceResidual-Unconstrained-PPO,tight_sla,5,19.84447616,0.16457443847732903,14.9177864,0.08512988382090078,4.92668976,0.08639678906700206,9.00081824,0.004435078187360299,5.916968160000001,0.08602190107436573,1.72218272,0.08891226161307557,1.2124390303030304,0.0008824701692593624,1.4239147334455666,0.013274339742266028,0.005609999923035502,0.0023551538138799227,8.991654431156348e-06,1.5415172569287315e-05,0.0003066666666666666,0.0005340620022265413,0.0,0.0,0.019382709593829366,0.00764832779786585,0.02441839525639571,0.009049113519038985,3.0,0.7071067811865476,6.0,1.0,0.8728466883074344,0.005212863130493534,77.13836,2.195092991879844,28.86164,2.1950929918798416,0.5663,0.2160488833574476,0.022520000000000002,0.009281002101066457,0.0123,0.0048430362377335145,0.2788846989974342,0.020411562141644937,0.24974976403237853,0.015405911075209878,1.0331161010917829,0.19848034198860356,0.2880772485059038,0.026094549998869985,1.129748167582918,0.023594965644520353,-0.009192549508469655,0.011065602775955224,0.013385134897629353,0.0052071768355606875,-0.09663206649113511,0.18622645153869827,0.14259824534929721,0.06286305026032567,1496.7199999999998,200.09642862879886
