method,seed,rollout,step,reward_mean,lat_cost,rate_cost,drop_cost,lambda_lat,lambda_rate,lambda_drop,rho_mean,rho_std,beta_mean,rho_ref_mean,beta_ref_mean,delta_rho_mean,delta_rho_std,delta_beta_mean,delta_beta_std,policy_log_std_mean,loss,steps_train_nominal,steps_train_load,steps_train_edge,steps_train_burst,steps_train_joint
ReferenceResidual-Unconstrained-PPO,0,31,131072,0.21986667811870575,0.182373046875,0.0,0.028994888067245483,0.0,0.0,0.0,0.48521739038135014,0.29868368665354184,1.890089123356399,0.48985293250339473,1.8743573979121086,-0.004635542122044618,0.044805839697109905,0.015731725444290228,0.4773852557098181,-1.0809597969055176,3.295017450675368,0,1072,0,0,3024
ReferenceResidual-Unconstrained-PPO,0,32,135168,0.22349047660827637,0.0,0.0,0.0,0.0,0.0,0.0,0.2870331733687317,0.2413126558875315,1.058031017707199,0.28866028211437744,1.0756810450061587,-0.001627108745645753,0.04587380703058513,-0.017650027298959665,0.4731794683300199,-1.076103925704956,1.7251531449146569,168,3928,0,0,0
ReferenceResidual-Unconstrained-PPO,0,33,139264,0.19667111337184906,0.02423095703125,0.0,0.0,0.0,0.0,0.0,0.32418779894125915,0.27212065767278615,1.1562784364592793,0.3269274202403614,1.1152588212235548,-0.0027396212991022554,0.04582659992062302,0.04101961523572433,0.4783546936058554,-1.082831859588623,0.7386568108573556,4096,0,0,0,0
ReferenceResidual-Unconstrained-PPO,0,34,143360,0.18706992268562317,0.03948974609375,0.0,0.0,0.0,0.0,0.0,0.38217179659278633,0.29677462893494594,1.6113568667378675,0.38162056645168957,1.5424155598406974,0.0005512301410967729,0.04381369378469022,0.06894130689717005,0.4764947800433852,-1.0823787450790405,2.6396051801741125,736,0,3360,0,0
ReferenceResidual-Unconstrained-PPO,0,35,147456,0.19804246723651886,0.10577392578125,0.0009654476889409125,0.019148407503962517,0.0,0.0,0.0,0.4968417168030537,0.2955621857931615,1.8772036732241029,0.5035217045958779,1.8588891240245369,-0.0066799877928241,0.04413901721365,0.0183145491995658,0.48390475757033385,-1.0873711109161377,3.833568228036165,0,0,1640,2456,0
ReferenceResidual-Unconstrained-PPO,0,36,151552,0.22776803374290466,0.00872802734375,0.0,0.0,0.0,0.0,0.0,0.3512940207513833,0.25936026407886825,1.1419726881209327,0.3514468955519473,1.1220128049429725,-0.00015287480056403314,0.04614381769520231,0.019959883177960103,0.47306431898367485,-1.0904030799865723,1.9661416698247194,0,1552,0,2544,0
ReferenceResidual-Unconstrained-PPO,0,37,155648,0.2187548130750656,0.00579833984375,0.0,0.0,0.0,0.0,0.0,0.23710661128056004,0.21204542163951529,1.1737501347830495,0.24071131699512816,1.1258698308362132,-0.0036047057145681374,0.04391512035867361,0.047880303946836414,0.4692119753975757,-1.0923033952713013,1.0950792605057358,0,3448,0,0,648
ReferenceResidual-Unconstrained-PPO,0,38,159744,0.18395741283893585,0.2313232421875,0.002187481615692377,0.053937043994665146,0.0,0.0,0.0,0.5233631607749044,0.30255146565786045,2.6924882213923187,0.5365991663391453,2.6452916018441073,-0.013236005564240701,0.041129124108172495,0.047196619548211624,0.4741529969450025,-1.0870120525360107,2.6028362587094307,0,0,0,0,4096
ReferenceResidual-Unconstrained-PPO,0,39,163840,0.18999603390693665,0.0587158203125,0.0019770313519984484,0.02214336022734642,0.0,0.0,0.0,0.30867409897362746,0.2550455662297792,1.495791113236757,0.3161497199752324,1.431835530106317,-0.007475621001604959,0.04512443128924644,0.06395558313043972,0.48271023100932575,-1.0895358324050903,1.412782980548218,3840,0,0,0,256
ReferenceResidual-Unconstrained-PPO,0,40,167936,0.1861046850681305,0.0498046875,0.0,0.0,0.0,0.0,0.0,0.36762512315086515,0.287870121647352,1.6881440323423986,0.37020929535581926,1.6440354779334427,-0.002584172204954053,0.0460110880810687,0.04410855440895617,0.4715952806650413,-1.0879039764404297,2.04558069743216,1160,0,2936,0,0
ReferenceResidual-Unconstrained-PPO,0,41,172032,0.19596287608146667,0.026611328125,0.005353695247322321,0.01585312746465206,0.0,0.0,0.0,0.4237542294084299,0.2983431703627654,1.7242358836957774,0.42570044009517377,1.7167459788105512,-0.0019462106867439333,0.04547148545144589,0.0074899048852261375,0.47562965143489894,-1.0834665298461914,2.484423802047968,0,0,2064,2032,0
ReferenceResidual-Unconstrained-PPO,0,42,176128,0.21732832491397858,0.01739501953125,0.0,0.0,0.0,0.0,0.0,0.3735398062981233,0.2736466737290224,1.1582052663763567,0.37445068685390503,1.1768919290196238,-0.0009108805557817353,0.04742019952787545,-0.018686662643267536,0.4700004060444551,-1.0858445167541504,1.9512048352509737,0,1128,0,2968,0
ReferenceResidual-Unconstrained-PPO,0,43,180224,0.2211434245109558,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.29275127937957124,0.2534707954187637,1.1860723930710764,0.28973117331396003,1.1287989881956422,0.0030201060656111973,0.04672602073198298,0.057273404875434294,0.47625482555487403,-1.093705415725708,1.5598985442426057,0,3872,0,0,224
ReferenceResidual-Unconstrained-PPO,0,44,184320,0.22734394669532776,0.10089111328125,0.0,0.005417210981249809,0.0,0.0,0.0,0.41409138588846583,0.2914432413847833,1.585017959988378,0.41397592293017627,1.5333355640189115,0.00011546295828960065,0.047988409376137464,0.051682395969466575,0.47574233230654217,-1.1053707599639893,0.9068869648501277,0,0,0,0,4096
