method,scenario,seed,throughput_mbps,embb_throughput_mbps,urllc_throughput_mbps,center_embb_throughput_mbps,edge_embb_throughput_mbps,min_embb_throughput_mbps,min_embb_satisfaction_ratio,mean_embb_satisfaction_ratio,latency_violation,rate_deficit_cost,rate_violation_fraction,rate_violation,drop_ratio,packet_deadline_miss_ratio,worst_urllc_deadline_miss_ratio,urllc_delay_p50_ms,urllc_delay_p95_ms,urllc_delay_p99_ms,jain_fairness,avg_prb_embb,avg_prb_urllc,avg_safety_reserved_prbs,safety_activation_fraction,safety_cap_hit_fraction,observed_urllc_packets,inference_us,avg_urllc_class_share,avg_embb_sla_weight,avg_reference_urllc_share,avg_reference_embb_weight,avg_delta_rho,avg_delta_beta,std_urllc_class_share,std_delta_rho,std_delta_beta,lambda_lat,lambda_rate,lambda_drop
EDF,hotspot_unseen,0,7.827705600000001,1.9469088,5.8807968,1.9107200000000002,0.0361888,0.0,0.0,0.12894025757575758,0.11402499675750732,0.8024892807006836,0.9601,0.9601,0.5726006281586543,0.16915737720878157,0.2311805841217606,3.0,33.0,55.0,0.5221286254143355,3.18,102.82,0.0,0.0,0.0,20543,7.6,,,,,,,,,,,,
EDF,tight_sla,0,8.282991200000001,3.4744792,4.808512,3.3726616000000003,0.10181760000000001,0.005976,0.004980000000000001,0.2351923877665544,0.006775000132620335,0.7268617153167725,0.94465,0.94465,0.48684953132652664,0.03214850383556831,0.05480140774258421,2.0,4.0,6.0,0.5945046603008878,5.565,100.435,0.0,0.0,0.0,17077,7.5,,,,,,,,,,,,
EDF,nominal_hetero,1,7.847531200000001,2.9201168000000006,4.9274144,2.8530872,0.06702960000000001,0.0050880000000000005,0.0035333333333333336,0.19695550953984287,0.007699999958276749,0.7886632680892944,0.9601,0.9601,0.5119591755453077,0.022942357327215373,0.034178610804851156,2.0,5.0,9.0,0.5790602284912169,4.717,101.283,0.0,0.0,0.0,17435,7.5,,,,,,,,,,,,
EDF,load_surge,1,7.823212000000001,2.9357176000000003,4.8874944,2.7937992,0.1419184,0.0,0.0,0.19842350336700335,0.005950000137090683,0.780709981918335,0.9601,0.9601,0.5730875688619476,0.017060518731988474,0.025706214689265535,2.0,5.0,8.0,0.565407259702165,4.8654,101.1346,0.0,0.0,0.0,17350,7.5,,,,,,,,,,,,
EDF,edge_fade,1,6.880967200000001,1.9229456,4.9580216,1.8998664,0.0230792,0.0,0.0,0.12861057014590346,0.08517500013113022,0.7884146571159363,0.9523166666666666,0.9523166666666666,0.5589345697429746,0.14129319192610332,0.1848492931448386,3.0,12.0,20.0,0.5846156076100042,3.233,102.767,0.0,0.0,0.0,17538,7.5,,,,,,,,,,,,
EDF,bursty_urllc,1,9.6094432,1.6220063999999998,7.9874368,1.5851992,0.0368072,0.0,0.0,0.1088202323232323,0.04057500138878822,0.8433873057365417,0.9601,0.9601,0.501639337873545,0.0908866299590569,0.12426546837193225,3.0,9.0,21.0,0.5190953036921999,2.6606,103.3394,0.0,0.0,0.0,28332,7.5,,,,,,,,,,,,
EDF,mixed_dynamic,1,8.379744,1.9173416,6.4624024,1.880668,0.0366736,0.0,0.0,0.12847008417508415,0.12282499670982361,0.784192681312561,0.9601,0.9601,0.5681874824277651,0.19965959675307673,0.23793677204658903,3.0,28.0,54.0,0.5614659894001247,3.074,102.926,0.0,0.0,0.0,22914,7.5,,,,,,,,,,,,
EDF,hotspot_unseen,1,7.617613599999999,1.4827696,6.134844,1.4174008,0.0653688,0.005976,0.004980000000000001,0.10177545005611671,0.10167499631643295,0.8108306527137756,0.9601,0.9601,0.5832393393167918,0.17269189290570638,0.24683139162719242,3.0,25.0,66.0,0.5003805870970578,2.438,103.562,0.0,0.0,0.0,21327,7.5,,,,,,,,,,,,
EDF,tight_sla,1,7.670217600000001,2.6166911999999996,5.053526400000001,2.5234432,0.09324799999999998,0.0041816,0.0034846666666666667,0.17816433782267116,0.011149999685585499,0.8031179904937744,0.9601,0.9601,0.5219269483051562,0.042956094291140653,0.056669776119402986,2.0,5.0,7.0,0.6092668121442056,4.4096,101.5904,0.0,0.0,0.0,17902,7.5,,,,,,,,,,,,
EDF,nominal_hetero,2,7.931955200000001,2.9317024,5.0002528,2.8210096,0.1106928,0.0,0.0,0.1992702721661055,0.009750000201165676,0.7882568836212158,0.9601,0.9601,0.5079138472645719,0.024399931907166772,0.037840698597512566,2.0,5.0,10.0,0.5909887079313904,4.8018,101.1982,0.0,0.0,0.0,17623,7.5,,,,,,,,,,,,
EDF,load_surge,2,8.1850448,3.3844239999999997,4.8006208,3.2905384,0.0938856,0.0129032,0.010752666666666667,0.2266557154882155,0.0030499999411404133,0.7471449971199036,0.9601,0.9601,0.5558435355254994,0.01127599906520215,0.018633540372670808,2.0,4.0,7.0,0.5385275126038909,5.4802,100.5198,0.0,0.0,0.0,17116,7.5,,,,,,,,,,,,
EDF,edge_fade,2,7.375448000000001,2.5090448,4.866403200000001,2.4216911999999997,0.0873536,0.0,0.0,0.16964311335578,0.056299999356269836,0.7541147470474243,0.9197,0.9197,0.5319621288582471,0.09677979844781652,0.138834680791748,2.0,10.0,24.0,0.5968283548485155,4.1658,101.8342,0.0,0.0,0.0,17266,7.5,,,,,,,,,,,,
EDF,bursty_urllc,2,9.251548800000002,1.3193824,7.9321664,1.243684,0.0756984,0.0129216,0.010768,0.09187340179573511,0.10694999992847443,0.832312285900116,0.9599833333333334,0.9599833333333334,0.5135603164250603,0.18593538264032522,0.23648418905134308,3.0,22.0,38.0,0.5042059393355259,2.2154,103.7846,0.0,0.0,0.0,28042,7.5,,,,,,,,,,,,
EDF,mixed_dynamic,2,8.111657600000001,1.5713296,6.540328000000001,1.4667656,0.104564,0.0,0.0,0.11300892255892254,0.1561249941587448,0.7862223386764526,0.9601,0.9601,0.5807620231422179,0.2616354373542872,0.29902512185976754,3.0,34.0,66.0,0.5474648446912589,2.5546,103.4454,0.0,0.0,0.0,23162,7.5,,,,,,,,,,,,
EDF,hotspot_unseen,2,7.9013808,1.940568,5.9608128,1.8137864000000001,0.1267816,0.0,0.0,0.13294231369248036,0.11574999988079071,0.7961172461509705,0.9601,0.9601,0.5689023464520616,0.1908713692946058,0.27633986928104576,3.0,28.0,49.0,0.5195928964546138,3.2118,102.7882,0.0,0.0,0.0,20726,7.5,,,,,,,,,,,,
EDF,tight_sla,2,8.210018400000001,3.2992856,4.9107328,3.2618672,0.0374184,0.0,0.0,0.21739977497194163,0.008750000037252903,0.7645871639251709,0.9601,0.9601,0.4926110460183946,0.03239331457124806,0.0486815415821501,2.0,5.0,7.0,0.5424110750084175,5.5226,100.4774,0.0,0.0,0.0,17411,7.6,,,,,,,,,,,,
